Titel,Datum,Ort,Link
KULINARISCHE WELTREISE IN KÖLN MIT SHARING PLATE FOOD TOURS,Samstag um 13:00 + 14 more,Hahnentor,https://www.eventbrite.de/e/kulinarische-weltreise-in-koln-mit-sharing-plate-food-tours-tickets-528699262727?aff=ebdssbcitybrowse
Wein Seminar - FRANZÖSICHE WEINVIELFALT - SÜDFRANKREICH & RHONE ENTDECKEN,"Fri, Jan 17, 6:00 PM",Die Weinstrasse | Ihr Weinladen in der Kölner Südstadt | Weinhandlung & Weingeschäft Köln-Süd,https://www.eventbrite.de/e/wein-seminar-franzosiche-weinvielfalt-sudfrankreich-rhone-entdecken-tickets-1110056993349?aff=ebdssbcitybrowse
Kakao Yoga (Kakaozeremonie) in Köln,"Sat, Jan 18, 2:45 PM + 2 more",Friesenstraße 50,https://www.eventbrite.de/e/kakao-yoga-kakaozeremonie-in-koln-tickets-1045408935267?aff=ebdssbcitybrowse
Gin Tasting,"Sat, Jan 18, 4:00 PM + 5 more",The Bär,https://www.eventbrite.de/e/gin-tasting-tickets-1041732388617?aff=ebdssbcitybrowse
Kitchen Talks,"Mon, Feb 3, 6:30 PM",Minsu Restaurant Köln,https://www.eventbrite.de/e/kitchen-talks-tickets-1137303047029?aff=ebdssbcitybrowse
JECKE ALM PARTY,"Fri, Feb 28, 9:00 PM",Quater 1,https://www.eventbrite.de/e/jecke-alm-party-tickets-886041944307?aff=ebdssbcitybrowse
"Rosenmontagszug-Tribünenplätze inkl. Catering, Moderation, Toilette u.s.w.","Mon, Mar 3, 12:00 PM",Latif's - Frontcooking & Bar,https://www.eventbrite.de/e/rosenmontagszug-tribunenplatze-inkl-catering-moderation-toilette-usw-tickets-1079059569219?aff=ebdssbcitybrowse
Gourmetfestival Köln,"Fri, Jul 25, 1:00 PM + 2 more",Schokoladenmuseum Köln,https://www.eventbrite.de/e/gourmetfestival-koln-tickets-1117346265759?aff=ebdssbcitybrowse
Richtig optimieren.,"Wed, Jan 15, 10:00 AM",Börsenpl. 1,https://www.eventbrite.de/e/richtig-optimieren-tickets-1113493652489?aff=ebdssbcitybrowse
Exkursion zur igus® GmbH,"Thu, Jan 16, 9:00 AM",igus,https://www.eventbrite.de/e/exkursion-zur-igus-gmbh-tickets-1067202263699?aff=ebdssbcitybrowse
Human In Business - Der Mensch im Unternehmen 2025,"Thu, Jan 16, 5:00 PM",KunstSalon e.V.,https://www.eventbrite.com/e/human-in-business-der-mensch-im-unternehmen-2025-tickets-1083962253279?aff=ebdssbcitybrowse
Online Marketing-Stammtisch Köln,"Wed, Jan 22, 6:00 PM",Brauhaus Quetsch,https://www.eventbrite.at/e/online-marketing-stammtisch-koln-registrierung-1099652683779?aff=ebdssbcitybrowse
"ActiveCampaign Study Hall | Köln, Germany","Tue, Jan 28, 9:00 AM",Maritim Hotel Köln,https://www.eventbrite.com/e/activecampaign-study-hall-koln-germany-tickets-1082348055169?aff=ebdssbcitybrowse
