Titel,Datum,Ort,Link,Adresse,lat,lon,Datum/Uhrzeit
PRIME TIME 2025 - Kostümparty der Schnieke-Funke 0815 e.V.,morgen um 19:30,"Alteburg, Alteburger Str.  139, 50968 Köln",https://www.eventbrite.de/e/prime-time-2025-kostumparty-der-schnieke-funke-0815-ev-tickets-1013396495197?aff=ebdssbcitybrowse,Alteburger Straße 139 50968 Köln,50.915394199999994,6.966491982509874,
Siebdruck Workshop,Samstag um 14:00,flowland,https://www.eventbrite.de/e/siebdruck-workshop-tickets-1100819925029?aff=ebdssbcitybrowse,Girlitzweg 30 Tor 5 50829 Köln,,,
Die Fokus Football Playoff Show!,Samstag um 15:00,XPERION Köln,https://www.eventbrite.com/e/die-fokus-football-playoff-show-tickets-1110260120909?aff=ebdssbcitybrowse,Hansaring 97 50670 Köln,50.9490537,6.951517115473531,
Workshop für Eltern: Raus aus dem Drohen und Strafen - Rein ins Miteinander,Samstag um 10:00,Alte Feuerwache Köln,https://www.eventbrite.com/e/workshop-fur-eltern-raus-aus-dem-drohen-und-strafen-rein-ins-miteinander-tickets-1024373537827?aff=ebdssbcitybrowse,Melchiorstraße 3 50670 Köln,50.952079,6.954627621243903,
"Salsa in Köln, Salsa Night mit Einsteiger Workshop",Samstag um 21:00,Venloer Str. 420,https://www.eventbrite.de/e/salsa-in-koln-salsa-night-mit-einsteiger-workshop-tickets-1115051792929?aff=ebdssbcitybrowse,Venloer Straße 420 50825 Köln,50.953222249999996,6.912362967757458,
Stand Up Sunday | open mic night in English,Sonntag um 20:00,James Joyce Irish Pub,https://www.eventbrite.com/e/stand-up-sunday-open-mic-night-in-english-tickets-727518355987?aff=ebdssbcitybrowse,Bonner Straße 39 50677 Köln,50.91861765,6.960597208805964,
Burlesque Dinner Show mit Nita Bon Air,Sonntag um 18:00,Echtzeit,https://www.eventbrite.de/e/burlesque-dinner-show-mit-nita-bon-air-tickets-1097068815359?aff=ebdssbcitybrowse,Friesenstraße 33 50670 Köln,50.94081155,6.944299247770478,
Sinnvoller Sonntag,Sonntag um 11:00,Kadampa Meditationszentrum Köln,https://www.eventbrite.de/e/sinnvoller-sonntag-tickets-1114449100259?aff=ebdssbcitybrowse,Hohe Straße 14 50667 Köln,50.93452085,6.956360866548045,
PRIME TIME 2025 - Kostümparty der Schnieke-Funke 0815 e.V.,morgen um 19:30,"Alteburg, Alteburger Str.  139, 50968 Köln",https://www.eventbrite.de/e/prime-time-2025-kostumparty-der-schnieke-funke-0815-ev-tickets-1013396495197?aff=ebdssbcitybrowse,Alteburger Straße 139 50968 Köln,50.915394199999994,6.966491982509874,
Siebdruck Workshop,Samstag um 14:00,flowland,https://www.eventbrite.de/e/siebdruck-workshop-tickets-1100819925029?aff=ebdssbcitybrowse,Girlitzweg 30 Tor 5 50829 Köln,,,
Die Fokus Football Playoff Show!,Samstag um 15:00,XPERION Köln,https://www.eventbrite.com/e/die-fokus-football-playoff-show-tickets-1110260120909?aff=ebdssbcitybrowse,Hansaring 97 50670 Köln,50.9490537,6.951517115473531,
Workshop für Eltern: Raus aus dem Drohen und Strafen - Rein ins Miteinander,Samstag um 10:00,Alte Feuerwache Köln,https://www.eventbrite.com/e/workshop-fur-eltern-raus-aus-dem-drohen-und-strafen-rein-ins-miteinander-tickets-1024373537827?aff=ebdssbcitybrowse,Melchiorstraße 3 50670 Köln,50.952079,6.954627621243903,
"Salsa in Köln, Salsa Night mit Einsteiger Workshop",Samstag um 21:00,Venloer Str. 420,https://www.eventbrite.de/e/salsa-in-koln-salsa-night-mit-einsteiger-workshop-tickets-1115051792929?aff=ebdssbcitybrowse,Venloer Straße 420 50825 Köln,50.953222249999996,6.912362967757458,
Stand Up Sunday | open mic night in English,Sonntag um 20:00,James Joyce Irish Pub,https://www.eventbrite.com/e/stand-up-sunday-open-mic-night-in-english-tickets-727518355987?aff=ebdssbcitybrowse,Bonner Straße 39 50677 Köln,50.91861765,6.960597208805964,
